BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Bulgaria,krapetz,Black Sea,5850,Sandy,,,1,,8,31,2,4,,1,,1,,,,,,,16,3,13,,2,25,1,,5,1,6,43,2,4,5,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,7,6,6,10,1,,,,,,,4,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,1,1,1,3,,,,,1,,,,,,,,,,2,1,1,5,,,,,,,,,,,,2,,,,,,,,1,2,4,,3,,,3,,1,
Bulgaria,krapetz,Black Sea,5850,Sandy,,12,1,,10,9,,2,3,,,1,,,,,,22,,28,2,20,4,474,1,,12,2,1,29,,9,6,5,,,,,,,,,2,8,,,1,,,,,,3,,,2,,13,2,,,1,,1,204,9,8,,8,,,,,,,7,,,1,,6,3,,,,,,1,21,,,,1,,,,,2,,2,,1,1,,5,,,15,1,2,2,,4,5,2,,7,20,1,,4,,,,2,,,3,,2,2,1,3,4,,,,,,,,,,,1,,,,2,,3,1,1,,2,,,,7,3,,
Bulgaria,krapetz,Black Sea,5850,Sandy,,27,7,,3,8,1,9,,1,,,,,,,,8,,12,11,5,2,42,,,11,1,3,,1,6,,,,,,,,,,,,4,,1,,1,,,,,,,,,,2,,,,2,,,34,4,,,,,,,,,,1,,,,,1,,,,,2,,,,,,,,3,1,,,2,,,,,,,,,,3,,,1,1,3,2,4,,8,,,,,,,,,,,,5,2,2,,,3,,,,,,,,1,,,,,,,,,2,2,,,5,,,,2,,2,1
Bulgaria,krapetz,Black Sea,5850,Sandy,,15,60,,18,46,,9,10,5,,,5,1,,,,63,6,102,,2,5,407,1,,86,,3,49,4,6,,,,,,,,,,,7,3,,,,,,,,,,,,1,,3,,,,4,,,30,,38,2,,,,,,,,10,2,,,,1,,,1,2,,,5,10,,,,,2,,4,,3,3,4,1,,,,6,,,5,,9,2,4,9,11,,,35,3,,,,,,,,,,,,,9,2,,14,,,,3,,3,,,,,1,,,1,,,6,3,5,,2,,,,5,26,,
Italy,San Mauro Cilento (SA),Unknown,100,,,5,6,,13,19,13,6,4,2,,,2,3,3,2,1,98,37,8,27,2,4,16,2,3,,7,6,15,7,2,,,,,1,,,,,,2,8,,4,2,4,2,,1,1,4,,,1,1,,,,1,2,,1,,,74,1,62,3,,,,,,3,,,,,12,,,,,2,,1,,,2,1,1,,,,,,3,,1,,,,,,,,1,3,,,4,,6,,32,11,,,4,,,18,,,,,,4,14,27,,4,,,,,,,,,,,,,1,,,1,4,,,,,,,,3,,2,
Italy,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",Mediterranean Sea,100,,,,15,,33,28,6,5,,4,,3,1,,1,,,117,,,,,4,2,4,,,,,,10,,,,,,,,,,,,,,,,2116,,,,1,61,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,2,2,,12,8,,,2,,,,,,,,,103,22,,5,,5,,,,2,,,10,,,348,,21,,,1,,,,,,,1,21,,15,1,16,2,,1,1,,,,,,,,,,,15,,,,1,54,,,22,,,,,,,1,,
,"7 Place Salvador Allende, 94000 Cr?teil, France",Unknown,750,,,25,,,2,1,,20,,,,,,,,,,40,,,,,2,2330,,,50,2,1,5,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,14,,,121,,,,,,,,,,,,,,,78,,1,,,,,,,,12,,,0
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,1,,,,,,,1,,1,1,,,222,3,,11,3,1,1,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,5,,,,,,,,,29,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,1,,,4,,,,,,,,1,4,,,,,2,,,1,14,,,,,,,,8,,,1,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Greece,"Agia Galini, Crete (port)",Mediterranean Sea,84,Rocky,,9,,,31,,,7,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Italy,"Spiaggia della Bandita, Palermo (PA)",Mediterranean Sea,100,,,30,,,,300,50,,,,10,,,,1,10,15,50,,,,,3,100,,,14,,15,50,30,,,,,2,,,,,,,,,,3,3,1,,25,1,,,,,,,,,,,30,,5,1,10,10,,,,,,,,,,,,,,4,,,,1,3,,,2,,,2,4,,,,,,30,15,,,,,,,,10,5,,,5,15,,4,,,,,,,,,,,,,1,10,,60,,,,,5,,,,,,,,,1,,,,,,50,,,,50,,,,,,,
